employment_status,monthly_income,monthly_expenses,goal_types,target_amount,target_duration,risk_tolerance,investment_experience,savings_investment,existing_loans,financial_discipline,strategy_name,strategy_description,risk_level,duration_year,return_rate
retired,>10000,5000-10000,"['vacation', 'emergency fund', 'Buying house']",252251,16,moderate,advanced,<5000,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.8%
retired,5000-10000,<5000,"['Buying house', 'emergency fund', 'vacation']",448102,16,low,beginner,0,>10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,7.2%
student,0,0,"['vacation', 'Buying house', 'emergency fund']",288620,6,moderate,advanced,0,5000-10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,14.8%
self-employed,0,>10000,"['emergency fund', 'education', 'vacation']",499504,12,high,advanced,5000-10000,<5000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,15.2%
student,5000-10000,<5000,"['Buying house', 'emergency fund', 'vacation']",68057,6,high,beginner,>10000,0,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.6%
student,0,>10000,"['vacation', 'retirement', 'Buying house']",416760,17,high,beginner,<5000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.6%
self-employed,0,5000-10000,"['Buying house', 'education', 'retirement']",72849,15,low,beginner,>10000,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.3%
unemployed,5000-10000,<5000,"['vacation', 'Buying house', 'emergency fund']",89581,6,low,advanced,5000-10000,0,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,24.4%
student,5000-10000,5000-10000,"['retirement', 'education', 'Buying house']",204403,18,low,beginner,>10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.6%
retired,0,<5000,"['Buying house', 'emergency fund', 'vacation']",413370,6,moderate,advanced,<5000,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,14.0%
self-employed,0,<5000,"['Buying house', 'retirement', 'vacation']",259770,17,moderate,intermediate,5000-10000,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.4%
student,5000-10000,0,"['emergency fund', 'education', 'retirement']",200633,15,moderate,intermediate,<5000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.9%
retired,>10000,5000-10000,"['vacation', 'emergency fund', 'Buying house']",430964,6,low,advanced,>10000,>10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.3%
retired,>10000,<5000,"['vacation', 'Buying house', 'retirement']",364398,10,low,advanced,>10000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,10.1%
employed,5000-10000,0,"['Buying house', 'vacation', 'retirement']",201718,18,low,advanced,0,<5000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.6%
self-employed,0,5000-10000,"['emergency fund', 'vacation', 'retirement']",113910,13,low,beginner,<5000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,24.1%
